00:NOP:1:4:machine
01:LXI B,D16:3:10:transfer
4e:MOV C,M:1:7:transfer
4f:MOV C,A:1:5:transfer
50:MOV D,B:1:5:transfer
51:MOV D,C:1:5:transfer
52:MOV D,D:1:5:transfer
53:MOV D,E:1:5:transfer
54:MOV D,H:1:5:transfer
55:MOV D,L:1:5:transfer
56:MOV D,M:1:7:transfer
57:MOV D,A:1:5:transfer
58:MOV E,B:1:5:transfer
59:MOV E,C:1:5:transfer
5a:MOV E,D:1:5:transfer
5b:MOV E,E:1:5:transfer
5c:MOV E,H:1:5:transfer
5d:MOV E,L:1:5:transfer
5e:MOV E,M:1:7:transfer
5f:MOV E,A:1:5:transfer
60:MOV H,B:1:5:transfer
61:MOV H,C:1:5:transfer
62:MOV H,D:1:5:transfer
63:MOV H,E:1:5:transfer
64:MOV H,H:1:5:transfer
65:MOV H,L:1:5:transfer
66:MOV H,M:1:7:transfer
67:MOV H,A:1:5:transfer
68:MOV L,B:1:5:transfer
69:MOV L,C:1:5:transfer
6a:MOV L,D:1:5:transfer
6b:MOV L,E:1:5:transfer
6c:MOV L,H:1:5:transfer
6d:MOV L,L:1:5:transfer
6e:MOV L,M:1:7:transfer
6f:MOV L,A:1:5:transfer
70:MOV M,B:1:7:transfer
71:MOV M,C:1:7:transfer
72:MOV M,D:1:7:transfer
73:MOV M,E:1:7:transfer
74:MOV M,H:1:7:transfer
75:MOV M,L:1:7:transfer
76:HLT:1:7:machine
77:MOV M,A:1:7:transfer
78:MOV A,B:1:5:transfer
79:MOV A,C:1:5:transfer
7a:MOV A,D:1:5:transfer
7b:MOV A,E:1:5:transfer
7c:MOV A,H:1:5:transfer
7d:MOV A,L:1:5:transfer
7e:MOV A,M:1:7:transfer
7f:MOV A,A:1:5:transfer
80:ADD B:1:4:arithmetic
81:ADD C:1:4:arithmetic
82:ADD D:1:4:arithmetic
83:ADD E:1:4:arithmetic
84:ADD H:1:4:arithmetic
85:ADD L:1:4:arithmetic
86:ADD M:1:7:arithmetic
87:ADD A:1:4:arithmetic
88:ADC B:1:4:arithmetic
89:ADC C:1:4:arithmetic
8a:ADC D:1:4:arithmetic
8b:ADC E:1:4:arithmetic
8c:ADC H:1:4:arithmetic
8d:ADC L:1:4:arithmetic
8e:ADC M:1:7:arithmetic
8f:ADC A:1:4:arithmetic
90:SUB B:1:4:arithmetic
91:SUB C:1:4:arithmetic
92:SUB D:1:4:arithmetic
93:SUB E:1:4:arithmetic
94:SUB H:1:4:arithmetic
95:SUB L:1:4:arithmetic
96:SUB M:1:7:arithmetic
97:SUB A:1:4:arithmetic
98:SBB B:1:4:arithmetic
99:SBB C:1:4:arithmetic
9a:SBB D:1:4:arithmetic
9b:SBB E:1:4:arithmetic
9c:SBB H:1:4:arithmetic
9d:SBB L:1:4:arithmetic
9e:SBB M:1:7:arithmetic
9f:SBB A:1:4:arithmetic
a0:ANA B:1:4:logical
a1:ANA C:1:4:logical
a2:ANA D:1:4:logical
a3:ANA E:1:4:logical
a4:ANA H:1:4:logical
a5:ANA L:1:4:logical
a6:ANA M:1:7:logical
a7:ANA A:1:4:logical
a8:XRA B:1:4:logical
a9:XRA C:1:4:logical
aa:XRA D:1:4:logical
ab:XRA E:1:4:logical
ac:XRA H:1:4:logical
ad:XRA L:1:4:logical
ae:XRA M:1:7:logical
af:XRA A:1:4:logical
b0:ORA B:1:4:logical
b1:ORA C:1:4:logical
b2:ORA D:1:4:logical
b3:ORA E:1:4:logical
b4:ORA H:1:4:logical
b5:ORA L:1:4:logical
b6:ORA M:1:7:logical
b7:ORA A:1:4:logical
b8:CMP B:1:4:logical
b9:CMP C:1:4:logical
ba:CMP D:1:4:logical
bb:CMP E:1:4:logical
bc:CMP H:1:4:logical
bd:CMP L:1:4:logical
be:CMP M:1:7:logical
bf:CMP A:1:4:logical
c0:RNZ:1:5:branch
c1:POP B:1:10:machine
c2:JNZ adr:3:10:branch
c3:JMP adr:3:10:branch
c4:CNZ adr:3:11:branch
c5:PUSH B:1:11:machine
c6:ADI D8:2:7:arithmetic
c7:RST 0:1:11:branch
c8:RZ:1:5:branch
c9:RET:1:10:branch
ca:JZ adr:3:10:branch
cb:-:1:10:machine
cc:CZ adr:3:11:branch
cd:CALL adr:3:17:branch
ce:ACI D8:2:7:arithmetic
cf:RST 1:1:11:branch
d0:RNC:1:5:branch
d1:POP D:1:10:machine
d2:JNC adr:3:10:branch
d3:OUT D8:2:10:machine
d4:CNC adr:3:11:branch
d5:PUSH D:1:11:machine
d6:SUI D8:2:7:arithmetic
d7:RST 2:1:11:branch
d8:RC:1:5:branch
d9:-:1:10:machine
da:JC adr:3:10:branch
db:IN D8:2:10:machine
dc:CC adr:3:11:branch
dd:-:1:17:machine
de:SBI D8:2:7:arithmetic
df:RST 3:1:11:branch
e0:RPO:1:5:branch
e1:POP H:1:10:machine
e2:JPO adr:3:10:branch
e3:XTHL:1:18:machine
e4:CPO adr:3:11:branch
e5:PUSH H:1:11:machine
e6:ANI D8:2:7:logical
e7:RST 4:1:11:branch
e8:RPE:1:5:branch
e9:PCHL:1:5:branch
ea:JPE adr:3:10:branch
eb:XCHG:1:4:transfer
ec:CPE adr:3:11:branch
ed:-:1:17:machine
ee:XRI D8:2:7:logical
ef:RST 5:1:11:branch
f0:RP:1:5:branch
f1:POP PSW:1:10:machine
f2:JP adr:3:10:branch
f3:DI:1:4:machine
f4:CP adr:3:11:branch
f5:PUSH PSW:1:11:machine
f6:ORI D8:2:7:logical
f7:RST 6:1:11:branch
f8:RM:1:5:branch
f9:SPHL:1:5:machine
fa:JM adr:3:10:branch
fb:EI:1:4:machine
fc:CM adr:3:11:branch
fd:-:1:17:machine
fe:CPI D8:2:7:logical
ff:RST 7:1:11:branch
